iter	Passed	Remaining
0	3	308
1	5	291
2	8	279
3	10	257
4	13	255
5	16	252
6	18	249
7	21	247
8	24	244
9	26	241
10	29	239
11	32	237
12	34	233
13	37	230
14	40	227
15	43	227
16	46	225
17	49	223
18	52	222
19	55	220
20	59	223
21	62	220
22	65	217
23	67	214
24	70	211
25	73	208
26	75	205
27	78	201
28	81	198
29	83	195
30	86	192
31	89	189
32	91	186
33	94	183
34	96	180
35	99	176
36	102	173
37	104	170
38	107	168
39	110	165
40	112	162
41	114	157
42	116	155
43	119	152
44	122	149
45	125	147
46	128	144
47	131	142
48	134	140
49	137	137
50	140	134
51	143	132
52	145	129
53	148	126
54	150	122
55	152	120
56	155	117
57	158	114
58	160	111
59	163	108
60	166	106
61	168	103
62	171	100
63	173	97
64	176	95
65	179	92
66	181	89
67	184	86
68	187	84
69	189	81
70	192	78
71	195	75
72	197	73
73	200	70
74	202	67
75	205	64
76	207	62
77	210	59
78	213	56
79	216	54
80	218	51
81	221	48
82	224	45
83	226	43
84	229	40
85	232	37
86	234	35
87	237	32
88	239	29
89	242	26
90	244	24
91	247	21
92	250	18
93	252	16
94	255	13
95	257	10
96	260	8
97	262	5
98	265	2
99	268	0
