iter	Passed	Remaining
0	3	3613
1	7	3563
2	40	13535
3	44	10978
4	51	10331
5	65	10800
6	69	9885
7	84	10431
8	96	10626
9	100	9900
10	107	9640
11	132	10884
12	152	11572
13	160	11287
14	190	12497
15	204	12566
16	215	12459
17	219	11971
18	225	11638
19	232	11378
20	243	11360
21	249	11108
22	253	10782
23	259	10555
24	267	10439
25	274	10293
26	277	10011
27	281	9764
28	285	9568
29	292	9460
30	297	9288
31	303	9194
32	306	8988
33	311	8861
34	317	8746
35	321	8612
36	324	8452
37	327	8290
38	333	8222
39	337	8104
40	341	7978
41	345	7873
42	349	7782
43	352	7661
44	355	7539
45	357	7423
46	361	7331
47	364	7235
48	368	7146
49	371	7061
50	376	7007
51	385	7032
52	390	6985
53	396	6945
54	399	6864
55	403	6806
56	409	6776
57	413	6716
58	416	6641
59	421	6602
60	424	6535
61	432	6540
62	439	6536
63	443	6490
64	447	6434
65	451	6388
66	455	6337
67	458	6278
68	460	6219
69	463	6161
70	468	6131
71	471	6078
72	474	6025
73	477	5974
74	482	5951
75	485	5908
76	489	5863
77	492	5819
78	496	5786
79	499	5747
80	503	5708
81	506	5670
82	509	5626
83	514	5606
84	517	5571
85	521	5537
86	524	5501
87	528	5474
88	531	5443
89	534	5408
90	538	5379
91	542	5356
92	546	5333
93	550	5302
94	553	5275
95	558	5256
96	561	5228
97	564	5199
98	568	5173
99	573	5160
100	576	5133
101	579	5104
102	582	5075
103	586	5053
104	589	5028
105	593	5003
106	596	4979
107	601	4968
108	605	4949
109	609	4928
110	612	4906
111	618	4900
112	621	4877
113	624	4853
114	627	4831
115	631	4810
116	634	4786
117	637	4765
118	640	4744
119	643	4722
120	648	4707
121	650	4682
122	653	4662
123	657	4642
124	660	4623
125	664	4608
126	667	4588
127	670	4569
128	674	4554
129	678	4538
130	681	4524
131	685	4506
132	689	4492
133	694	4490
134	698	4473
135	701	4454
136	704	4437
137	708	4426
138	711	4410
139	714	4391
140	718	4374
141	721	4358
142	725	4345
143	728	4328
144	731	4312
145	734	4298
146	739	4288
147	742	4272
148	745	4256
149	748	4242
150	753	4236
151	756	4222
152	759	4206
153	762	4191
154	767	4185
155	771	4172
156	774	4158
157	777	4145
158	783	4143
159	786	4129
160	788	4109
161	791	4096
162	796	4088
163	799	4076
164	802	4063
165	806	4050
166	809	4038
167	813	4030
168	816	4016
169	820	4004
170	823	3991
171	827	3983
172	830	3971
173	833	3957
174	836	3944
175	840	3934
176	843	3923
177	846	3911
178	850	3900
179	853	3890
180	858	3882
181	861	3870
